Number of nodes: 12
Number of edges: 20
Number of CESs: 18
Number of events: 81
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
8	select deposit, enter deposit amount, put money
4	enter deposit amount, put money, get balance
3	get balance, select deposit, enter deposit amount
6	select withdraw, enter withdraw amount, take money
4	select withdraw, enter withdraw amount, confirm daily limit excess
2	enter withdraw amount, take money, get balance
3	get balance, select withdraw, enter withdraw amount
1	get balance, select withdraw, cancel withdraw
1	take money, get balance, select deposit
1	take money, get balance, select withdraw
1	put money, get balance, select deposit
3	put money, get balance, select withdraw
2	enter withdraw amount, confirm daily limit excess, enter withdraw amount
2	enter withdraw amount, confirm daily limit excess, cancel withdraw
1	enter withdraw amount, confirm daily limit excess, confirm overdraft limit excess
1	confirm daily limit excess, enter withdraw amount, take money
1	confirm daily limit excess, enter withdraw amount, confirm daily limit excess
1	confirm daily limit excess, confirm overdraft limit excess, cancel withdraw
1	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
1	enter overdraft limit, enter overdraft limit, enter overdraft limit
0	Number of uncovered edges 
