Number of nodes: 13
Number of edges: 21
Number of CESs: 11
Number of events: 100
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
4	get balance, select deposit, enter deposit amount
1	get balance, select deposit, cancel deposit
9	select deposit, enter deposit amount, put money
4	enter deposit amount, put money, get balance
3	put money, get balance, select deposit
1	put money, get balance, select withdraw
3	get balance, select withdraw, enter withdraw amount
5	select withdraw, enter withdraw amount, take money
3	enter withdraw amount, take money, get balance
2	take money, get balance, select deposit
1	take money, get balance, select withdraw
0	Number of uncovered edges 
