Number of nodes: 14
Number of edges: 809
Number of CESs: 492
Number of events: 4181
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	enter receiver's email address, enter email subject, enter email body, enter receiver's email address, enter email subject, enter email body
3	enter receiver's email address, enter email subject, enter email body, enter receiver's email address, enter email subject, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email body, enter receiver's email address, enter email subject, enter email subject
1	enter receiver's email address, enter email subject, enter email body, enter receiver's email address, enter receiver's email address, enter email subject
2	enter receiver's email address, enter email subject, enter email body, enter receiver's email address, enter receiver's email address, send email
1	enter receiver's email address, enter email subject, enter email body, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email body, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	enter receiver's email address, enter email subject, enter email body, enter receiver's email address, enter receiver's email address, sign mail
4	enter receiver's email address, enter email subject, enter email body, enter receiver's email address, get alias email addresses of receiver, send email
4	enter receiver's email address, enter email subject, enter email body, enter receiver's email address, sign mail, send email
1	enter receiver's email address, enter email subject, enter email body, enter email body, enter receiver's email address, enter email subject
4	enter receiver's email address, enter email subject, enter email body, enter email body, enter receiver's email address, send email
1	enter receiver's email address, enter email subject, enter email body, enter email body, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email body, enter email body, enter receiver's email address, get alias email addresses of receiver
1	enter receiver's email address, enter email subject, enter email body, enter email body, enter receiver's email address, sign mail
2	enter receiver's email address, enter email subject, enter email body, enter email body, enter email body, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email body, enter email body, enter email body, enter email body
2	enter receiver's email address, enter email subject, enter email body, enter email body, enter email body, enter email subject
1	enter receiver's email address, enter email subject, enter email body, enter email body, enter email subject, enter email body
7	enter receiver's email address, enter email subject, enter email body, enter email body, enter email subject, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email body, enter email body, enter email subject, enter email subject
2	enter receiver's email address, enter email subject, enter email body, enter email subject, enter email body, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email body, enter email subject, enter email body, enter email body
2	enter receiver's email address, enter email subject, enter email body, enter email subject, enter email body, enter email subject
1	enter receiver's email address, enter email subject, enter email body, enter email subject, enter receiver's email address, enter email subject
4	enter receiver's email address, enter email subject, enter email body, enter email subject, enter receiver's email address, send email
14	enter receiver's email address, enter email subject, enter email body, enter email subject, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email body, enter email subject, enter receiver's email address, get alias email addresses of receiver
1	enter receiver's email address, enter email subject, enter email body, enter email subject, enter receiver's email address, sign mail
1	enter receiver's email address, enter email subject, enter email body, enter email subject, enter email subject, enter email body
3	enter receiver's email address, enter email subject, enter email body, enter email subject, enter email subject, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email body, enter email subject, enter email subject, enter email subject
2	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject, enter email body, enter receiver's email address
1	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject, enter email body, enter email body
2	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject, enter email body, enter email subject
1	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject, enter receiver's email address, enter email subject
4	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject, enter receiver's email address, send email
5	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject, enter receiver's email address, get alias email addresses of receiver
1	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject, enter receiver's email address, sign mail
1	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject, enter email subject, enter email body
3	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject, enter email subject, enter receiver's email address
1	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject, enter email subject, enter email subject
1	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address, enter email subject, enter email body
3	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address
1	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address, enter email subject, enter email subject
1	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject
2	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address, send email
1	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address, sign mail
4	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver, send email
4	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address, sign mail, send email
1	enter receiver's email address, enter email subject, enter email subject, enter email body, enter receiver's email address, enter email subject
4	enter receiver's email address, enter email subject, enter email subject, enter email body, enter receiver's email address, send email
1	enter receiver's email address, enter email subject, enter email subject, enter email body, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email subject, enter email body, enter receiver's email address, get alias email addresses of receiver
