Number of nodes: 11
Number of edges: 274
Number of CESs: 147
Number of events: 1145
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	enter receiver's email address, enter email subject, enter email body, enter receiver's email address, enter email subject
4	enter receiver's email address, enter email subject, enter email body, enter receiver's email address, send email
1	enter receiver's email address, enter email subject, enter email body, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email body, enter receiver's email address, get receiver's public key
2	enter receiver's email address, enter email subject, enter email body, enter email body, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email body, enter email body, enter email body
2	enter receiver's email address, enter email subject, enter email body, enter email body, enter email subject
1	enter receiver's email address, enter email subject, enter email body, enter email subject, enter email body
3	enter receiver's email address, enter email subject, enter email body, enter email subject, enter receiver's email address
5	enter receiver's email address, enter email subject, enter email body, enter email subject, enter email subject
1	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject, enter email body
3	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject, enter receiver's email address
1	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject, enter email subject
1	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address, enter email subject
2	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address, send email
1	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address, get receiver's public key
2	enter receiver's email address, enter email subject, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
2	enter receiver's email address, enter email subject, enter email subject, enter email body, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email subject, enter email body, enter email body
2	enter receiver's email address, enter email subject, enter email subject, enter email body, enter email subject
1	enter receiver's email address, enter email subject, enter email subject, enter receiver's email address, enter email subject
8	enter receiver's email address, enter email subject, enter email subject, enter receiver's email address, send email
1	enter receiver's email address, enter email subject, enter email subject, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email subject, enter receiver's email address, get receiver's public key
1	enter receiver's email address, enter email subject, enter email subject, enter email subject, enter email body
3	enter receiver's email address, enter email subject, enter email subject, enter email subject, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email subject, enter email subject, enter email subject
1	enter email subject, enter email body, enter receiver's email address, enter email subject, enter email body
3	enter email subject, enter email body, enter receiver's email address, enter email subject, enter receiver's email address
1	enter email subject, enter email body, enter receiver's email address, enter email subject, enter email subject
1	enter email subject, enter email body, enter receiver's email address, enter receiver's email address, enter email subject
2	enter email subject, enter email body, enter receiver's email address, enter receiver's email address, send email
1	enter email subject, enter email body, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter email subject, enter email body, enter receiver's email address, enter receiver's email address, get receiver's public key
2	enter email subject, enter email body, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
1	enter email subject, enter email body, enter email body, enter receiver's email address, enter email subject
4	enter email subject, enter email body, enter email body, enter receiver's email address, send email
1	enter email subject, enter email body, enter email body, enter receiver's email address, enter receiver's email address
1	enter email subject, enter email body, enter email body, enter receiver's email address, get receiver's public key
2	enter email subject, enter email body, enter email body, enter email body, enter receiver's email address
1	enter email subject, enter email body, enter email body, enter email body, enter email body
1	enter email subject, enter email body, enter email body, enter email body, enter email subject
1	enter email subject, enter email body, enter email body, enter email subject, enter email body
2	enter email subject, enter email body, enter email body, enter email subject, enter receiver's email address
2	enter email subject, enter email body, enter email body, enter email subject, enter email subject
2	enter email subject, enter email body, enter email subject, enter email body, enter receiver's email address
1	enter email subject, enter email body, enter email subject, enter email body, enter email body
1	enter email subject, enter email body, enter email subject, enter email body, enter email subject
1	enter email subject, enter email body, enter email subject, enter receiver's email address, enter email subject
5	enter email subject, enter email body, enter email subject, enter receiver's email address, send email
1	enter email subject, enter email body, enter email subject, enter receiver's email address, enter receiver's email address
1	enter email subject, enter email body, enter email subject, enter receiver's email address, get receiver's public key
1	enter email subject, enter email body, enter email subject, enter email subject, enter email body
23	enter email subject, enter email body, enter email subject, enter email subject, enter receiver's email address
1	enter email subject, enter email body, enter email subject, enter email subject, enter email subject
1	compose new email, enter receiver's email address, enter email subject, enter email body, enter receiver's email address
1	compose new email, enter receiver's email address, enter email subject, enter email body, enter email body
2	compose new email, enter receiver's email address, enter email subject, enter email body, enter email subject
1	compose new email, enter receiver's email address, enter email subject, enter receiver's email address, enter email subject
2	compose new email, enter receiver's email address, enter email subject, enter receiver's email address, send email
