Number of nodes: 17
Number of edges: 28
Number of CESs: 15
Number of events: 125
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
6	get balance, select deposit
10	select deposit, enter deposit amount
9	enter deposit amount, put money
9	put money, get balance
8	get balance, select withdraw
9	select withdraw, enter withdraw amount
8	enter withdraw amount, take money
5	take money, get balance
3	select deposit, cancel deposit
3	enter a credit amount, confirm credit approved
3	enter a credit amount, confirm credit disapproved
2	request an interest rate, confirm interest rate approved
2	request an interest rate, confirm interest rate disapproved
3	select withdraw, cancel withdraw
0	Number of uncovered edges 
