Number of nodes: 15
Number of edges: 24
Number of CESs: 9
Number of events: 89
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
2	get balance, select deposit, enter deposit amount
1	get balance, select deposit, cancel deposit
5	select deposit, enter deposit amount, put money
3	enter deposit amount, put money, get balance
2	put money, get balance, select deposit
1	put money, get balance, select withdraw
3	get balance, select withdraw, enter withdraw amount
4	select withdraw, enter withdraw amount, take money
2	enter withdraw amount, take money, get balance
1	take money, get balance, select deposit
1	take money, get balance, select withdraw
1	request an interest rate, confirm interest rate approved, enter days left
1	confirm interest rate approved, enter days left, get estimated interest for days left
0	Number of uncovered edges 
